"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Wisconsin",40,36,54.8,12.4,15.8,32.1,23.7,36.2,54.8,36.5,2015,"FINALISTA"
"Duke",39,35,56.6,16.3,18.6,35.8,30.2,39.8,55.9,38.7,2015,"FINALISTA"
"Arizona",38,34,53.5,16.5,20.6,34.5,22.4,47.1,53.3,36,2015,"FINALISTA"
"Gonzaga",37,34,57.9,16.1,17.1,33.9,28,38.7,57,40,2015,"FINALISTA"
"Louisville",36,27,47.7,17.2,21.3,34.7,30.8,38.7,48.4,30.7,2015,"FINALISTA"
"Notre Dame",38,32,58.3,14.5,17.3,27.9,32.2,36.7,58.2,39,2015,"FINALISTA"
"Kentucky",39,38,51.5,16.3,21.3,39.5,31.8,43.9,51.2,34.9,2015,"FINALISTA"
"Michigan St.",39,27,53.2,17.5,16.5,33.5,27,32.7,50.8,38.5,2015,"FINALISTA"
"Abilene Christian",28,7,47.3,19.8,20.8,24.1,33.9,28.3,42,37.8,2015,"NO FINALISTA"
"Air Force",29,12,53.6,19.2,20.2,29.6,32.6,30.8,53.9,35.4,2015,"NO FINALISTA"
"Akron",34,20,49.4,18.8,18.8,33.3,31.5,31.3,46.7,34.9,2015,"NO FINALISTA"
"Alabama",33,18,50.7,18.7,18.9,29.6,32,43.7,52.3,32.2,2015,"NO FINALISTA"
"Alabama A&M",28,8,44.7,21.9,18.3,35.2,36.4,41.6,45.4,29.1,2015,"NO FINALISTA"
"Alabama St.",27,17,48.2,19.7,19.2,36,29.2,34.6,46.4,35.4,2015,"NO FINALISTA"
"Alcorn St.",30,5,43.1,17.2,18.6,30.2,35.9,37.5,43.3,28.4,2015,"NO FINALISTA"
"American",33,17,53.4,19.4,21.8,21.3,31.6,34.4,51.8,37.4,2015,"NO FINALISTA"
"Appalachian St.",29,12,45.6,20.6,17.2,31.4,29.8,33.6,44.5,31.6,2015,"NO FINALISTA"
"Arizona St.",34,18,50.9,20.7,19.1,31.8,25.1,42.1,49.9,35,2015,"NO FINALISTA"
"Arkansas Little Rock",30,12,47.6,15.6,19.9,28.4,31.2,36,45.8,34,2015,"NO FINALISTA"
"Arkansas Pine Bluff",32,12,46.3,23.5,24.9,30.5,39.5,35.6,44.2,33.3,2015,"NO FINALISTA"
"Arkansas St.",28,10,45.3,20,17.6,29.7,32.7,33,44.1,32,2015,"NO FINALISTA"
"Army",29,14,50,19.1,18.9,29.7,31.5,32,51.1,32.2,2015,"NO FINALISTA"
"Auburn",34,14,46.9,18.9,21.3,27.6,34.1,48.8,43.4,35,2015,"NO FINALISTA"
"Austin Peay",28,6,44.5,20.8,20.3,31.8,29.2,41.6,44.2,30.1,2015,"NO FINALISTA"
"Ball St.",29,6,48.9,21.6,18.2,29.9,28.6,35.4,47.7,33.6,2015,"NO FINALISTA"
"Bethune Cookman",30,9,44.2,22.7,20.9,34.4,34.1,40.3,44.4,29.1,2015,"NO FINALISTA"
"Binghamton",30,5,44.6,21.6,20.4,26.2,32.5,39.8,43.9,30.6,2015,"NO FINALISTA"
"Boston College",32,13,50.8,18.8,18.8,26,30.9,35,52.1,32.4,2015,"NO FINALISTA"
"Boston University",29,12,52.7,19.4,16.3,28.2,28.4,44.9,50.8,36.8,2015,"NO FINALISTA"
"Bowling Green",32,21,49.3,18.4,19.5,31.6,29.5,32.4,48.6,33.8,2015,"NO FINALISTA"
"Bradley",32,8,42.3,20.4,21.9,32,29,37.8,40.7,30.1,2015,"NO FINALISTA"
"Brown",29,11,47,21.6,16.4,29.8,30.5,45,47.2,31.1,2015,"NO FINALISTA"
"Bryant",31,16,48.8,18.3,16.6,29.5,32,32.8,46.9,34.6,2015,"NO FINALISTA"
"Bucknell",33,18,49.7,17.1,14.5,29.6,25.9,40.3,46.2,38.1,2015,"NO FINALISTA"
"Cal Poly",27,11,44.1,14.8,17.3,31.9,28.2,31.5,42.5,31.6,2015,"NO FINALISTA"
"Cal St. Bakersfield",30,11,46,20.1,19,33.4,26.9,37.7,45,32,2015,"NO FINALISTA"
"Cal St. Fullerton",29,7,45.7,19.2,16.6,28.5,27.1,36.7,44.9,31.8,2015,"NO FINALISTA"
"Cal St. Northridge",31,7,45.3,19.5,16.6,28.4,30.5,41.1,44.3,33,2015,"NO FINALISTA"
"California",33,18,48.9,16.6,14.3,26,25.1,30.3,47,35.9,2015,"NO FINALISTA"
"Campbell",29,7,49.8,20.1,19,27.5,30.8,35.9,46.5,36,2015,"NO FINALISTA"
"Canisius",33,18,46.6,18.4,21.5,34,32.3,32,46.1,31.8,2015,"NO FINALISTA"
"Central Arkansas",29,2,48.8,25.6,18.3,28,36.7,39.3,46.5,35.3,2015,"NO FINALISTA"
"Central Connecticut",31,5,44.6,21.3,15.8,30.9,32.8,28.6,43.2,32.2,2015,"NO FINALISTA"
"Central Michigan",29,20,54.5,15.1,19.7,28.8,30.9,36.6,53.7,36.9,2015,"NO FINALISTA"
"Charleston Southern",28,16,48.5,17.2,18.9,33.4,28.5,34.9,46.7,33.7,2015,"NO FINALISTA"
"Charlotte",32,14,51.7,19.6,18.4,33.7,31.3,36.9,49.8,37.6,2015,"NO FINALISTA"
"Chattanooga",30,20,50.5,19.4,18.7,32.5,32.7,43.8,49.9,34.4,2015,"NO FINALISTA"
"Chicago St.",29,5,42.3,23.5,22.3,33.6,33.3,27.1,40.6,30.2,2015,"NO FINALISTA"
"Clemson",31,16,46,18.6,17.7,34.1,31.4,34.4,46.5,29.9,2015,"NO FINALISTA"
"Cleveland St.",32,17,51.7,19,21,31.9,30.6,31.1,48.9,37.9,2015,"NO FINALISTA"
"Colgate",32,15,56,18.8,16.5,23.7,28.4,27.4,53.8,39.5,2015,"NO FINALISTA"
"College of Charleston",33,9,46,19.3,18.4,27.5,32.2,32.4,43.2,34.3,2015,"NO FINALISTA"
"Colorado",34,16,48.4,19.9,16.9,34.4,27.9,40.8,47.7,33.5,2015,"NO FINALISTA"
"Colorado St.",33,26,50.1,16.1,18,34.1,25.4,41.9,49,34.8,2015,"NO FINALISTA"
"Columbia",27,12,51.6,19.4,16.2,32,29.2,28.2,49.7,35.9,2015,"NO FINALISTA"
"Connecticut",35,20,50,18.6,17.9,30.2,30.5,32.3,48.4,35.4,2015,"NO FINALISTA"
"Coppin St.",30,7,47,18.4,19.3,25.3,38.1,30.5,42.4,35.3,2015,"NO FINALISTA"
"Cornell",29,12,44.6,19,19.3,23.1,30,39.3,44.1,30.3,2015,"NO FINALISTA"
"Creighton",33,14,49.4,18.4,17.1,31.3,28.1,36.3,47.6,34.6,2015,"NO FINALISTA"
"Dartmouth",29,14,49.2,20.3,21.2,30.9,28.5,35.7,47.9,34.6,2015,"NO FINALISTA"
"Delaware",30,10,47.1,18.4,15.6,28.8,31.5,38.1,44.5,34.5,2015,"NO FINALISTA"
"Delaware St.",34,16,47.7,19.7,16.4,31.8,31.8,31.5,44.8,35,2015,"NO FINALISTA"
"Denver",30,12,56.2,19.1,20.4,19.3,29.6,31.2,55.5,38,2015,"NO FINALISTA"
"DePaul",32,12,50.7,19.8,18.8,27.4,35.5,36.5,49.2,35.2,2015,"NO FINALISTA"
"Detroit",31,13,49.7,19.3,21.2,29.4,29.8,32.4,46.3,37.9,2015,"NO FINALISTA"
"Drake",30,8,52.1,22.3,16.9,23.3,32,34,47.4,40.6,2015,"NO FINALISTA"
"Drexel",29,11,45,17,18.5,27.5,31.2,33.1,42.6,33,2015,"NO FINALISTA"
"Duquesne",30,11,51.2,18.3,16,31.7,33.3,32.5,49.5,36.2,2015,"NO FINALISTA"
"East Carolina",31,12,48.4,18,19.2,28.2,34.7,29.9,45.2,35.6,2015,"NO FINALISTA"
"East Tennessee St.",28,14,49.8,18.7,21.4,29.6,33,39.8,45.5,36.7,2015,"NO FINALISTA"
"Eastern Illinois",31,16,51,19,18.9,23.4,34.3,33.4,47.8,37.4,2015,"NO FINALISTA"
"Eastern Kentucky",31,19,53.9,17.9,26.9,21.6,34.8,32.2,54.9,35.1,2015,"NO FINALISTA"
"Eastern Michigan",31,17,46.9,17.8,21.5,30.2,33.7,41.5,46.7,31.4,2015,"NO FINALISTA"
"Elon",31,13,47.5,19,21.2,27.9,31.9,37.6,45.1,34.5,2015,"NO FINALISTA"
"Evansville",35,23,52.1,19.3,19.9,25.8,28,44.3,51.8,35.4,2015,"NO FINALISTA"
"Fairfield",31,7,45.2,20.2,18.3,27.3,33.9,37.1,43.2,32.2,2015,"NO FINALISTA"
"Fairleigh Dickinson",28,7,46.5,18.6,23.2,27.6,40.4,34.2,45.5,32.1,2015,"NO FINALISTA"
"FIU",31,14,48.2,22.6,19.2,29,31.9,37.4,48.6,31.3,2015,"NO FINALISTA"
"Florida",33,16,49.6,19.6,21.6,31.7,29.1,31.4,50.3,32.4,2015,"NO FINALISTA"
"Florida A&M",29,2,41.3,21.8,18.5,26.8,35.5,37.8,40.9,28.3,2015,"NO FINALISTA"
"Florida Atlantic",27,7,48.2,19.5,16.7,26,31.5,27.8,45.6,34.9,2015,"NO FINALISTA"
"Florida Gulf Coast",30,19,48.2,17.7,17.3,34.4,32.1,33.1,47,33.9,2015,"NO FINALISTA"
"Florida St.",33,17,50.1,21.9,18,31.8,31.9,46.9,51.4,31.3,2015,"NO FINALISTA"
"Fordham",30,9,46.7,22.2,18.7,33.4,29.5,33.1,47.8,29.8,2015,"NO FINALISTA"
"Fresno St.",30,13,47.1,17.2,20.3,25.9,32.7,38.8,47.2,31.3,2015,"NO FINALISTA"
"Furman",31,9,49,21.1,16.5,29.5,32.3,44.1,48.9,32.8,2015,"NO FINALISTA"
"Gardner Webb",31,16,51,17.4,17.1,29.8,31.8,37.7,50.4,34.6,2015,"NO FINALISTA"
"George Mason",30,8,45.5,21.9,18.5,35.9,30.4,41.1,44.9,31.6,2015,"NO FINALISTA"
"George Washington",35,22,48.9,18.7,18.3,35.5,30.9,39.9,47.3,35.2,2015,"NO FINALISTA"
"Georgia Southern",28,19,47.3,18.3,22,32.6,32.2,36.2,47.5,31.4,2015,"NO FINALISTA"
"Georgia Tech",31,12,44.4,19.6,18,38.7,25.8,31.1,46.1,26.7,2015,"NO FINALISTA"
"Grambling St.",27,0,39.4,26.1,16.9,28.9,36.4,39.6,38.4,28.3,2015,"NO FINALISTA"
"Grand Canyon",30,15,50.4,17.1,16.3,26.8,33.9,40.1,50.2,33.7,2015,"NO FINALISTA"
"Green Bay",31,22,49.3,18.5,20.8,33.3,29.4,39.3,51.8,28.3,2015,"NO FINALISTA"
"Hartford",29,13,47.3,19,20.9,25.3,29.5,29.8,46,32.5,2015,"NO FINALISTA"
"Hawaii",33,20,49.3,18.7,23.4,32.2,34.4,36.7,49.3,32.8,2015,"NO FINALISTA"
"High Point",30,20,51.9,17.5,19.8,30.6,31.5,34.1,49.3,38.6,2015,"NO FINALISTA"
"Hofstra",34,20,52.3,16,19.6,32.7,28.4,39.8,50.9,36.2,2015,"NO FINALISTA"
"Holy Cross",29,13,47.2,17,21.6,29.6,29.7,34.9,45.4,33.7,2015,"NO FINALISTA"
"Houston",32,13,46.5,20.5,19.9,33.6,33.7,31.5,45.2,32,2015,"NO FINALISTA"
"Houston Baptist",24,8,47.4,21.4,17.2,37.6,31.5,39.4,47.5,31.5,2015,"NO FINALISTA"
"Howard",29,13,46.2,25,21.4,33.5,34.6,43.4,47.4,28.9,2015,"NO FINALISTA"
"Idaho",28,11,53.4,17.5,15.4,30.7,27,38.6,49.2,41,2015,"NO FINALISTA"
"Idaho St.",28,5,48.1,18.7,18.7,29.9,32.2,37,46.6,34.9,2015,"NO FINALISTA"
"Illinois",33,19,47.6,15.2,19.7,30.2,28,31.2,44.4,35.5,2015,"NO FINALISTA"
"Illinois Chicago",32,8,43.6,17.4,18,30.8,28.5,40,41.5,31.8,2015,"NO FINALISTA"
"Illinois St.",34,21,48.4,19.9,20.5,36.2,29.3,34.8,46.8,34.4,2015,"NO FINALISTA"
"Incarnate Word",25,14,52,15.7,17.9,25.7,31.5,45.3,51.8,35,2015,"NO FINALISTA"
"Indiana St.",30,14,49.4,20.9,20.8,26.4,31.7,42.3,46.6,35.7,2015,"NO FINALISTA"
"Iona",35,26,54.7,17.2,16.7,28.7,33.2,37.4,51.3,39.6,2015,"NO FINALISTA"
"IPFW",28,13,53.3,18.7,16,25.1,26.6,41.1,52.6,36.3,2015,"NO FINALISTA"
"IUPUI",31,10,46.5,23.6,20.9,31.1,28.3,32.8,47.3,29.6,2015,"NO FINALISTA"
"Jackson St.",32,11,42.9,21.9,22.7,37.7,28.1,32.9,43.7,27.4,2015,"NO FINALISTA"
"Jacksonville",29,7,46.6,18.6,19.1,27.7,33.8,39.3,43.1,35.8,2015,"NO FINALISTA"
"Jacksonville St.",29,10,43,18.5,19.2,28.7,34.5,37.6,42.3,29.5,2015,"NO FINALISTA"
"James Madison",33,19,51.9,20.3,17.9,29,31.9,42.2,49.7,37.2,2015,"NO FINALISTA"
"Kansas St.",32,15,47.8,20.9,20.2,34,31.4,46,46.9,33.5,2015,"NO FINALISTA"
"Kennesaw St.",30,8,45.3,21.3,16.2,29.6,35.1,29.8,44.1,31.5,2015,"NO FINALISTA"
"Kent St.",34,22,49.8,17.8,18.2,33.6,32.7,37.1,46.7,36.6,2015,"NO FINALISTA"
"La Salle",33,17,46.7,19.9,20.1,29.6,30.8,36.4,46.1,32.1,2015,"NO FINALISTA"
"Lamar",26,11,49.7,23.4,20.4,34.6,32.9,41.9,50.7,31.9,2015,"NO FINALISTA"
"Lehigh",29,15,49,19.9,17.4,29.2,30.4,36.2,47.8,34.8,2015,"NO FINALISTA"
"Liberty",28,4,46,24.5,18.1,30.6,32.5,40.2,45.8,31,2015,"NO FINALISTA"
"Lipscomb",28,11,48.1,18.7,17.8,29.2,29.4,39.7,47.5,32.6,2015,"NO FINALISTA"
"LIU Brooklyn",30,12,44.9,19.6,18.2,31.3,31,39.8,42.8,32.4,2015,"NO FINALISTA"
"Long Beach St.",31,14,47.6,20.2,21,31.5,34,34.4,46.3,33.2,2015,"NO FINALISTA"
"Longwood",32,9,49,20.7,20.8,26.9,35.2,30,44.9,36.9,2015,"NO FINALISTA"
"Louisiana Lafayette",33,19,50.1,20.5,18.4,34.6,27.6,39.6,49.2,34.7,2015,"NO FINALISTA"
"Louisiana Monroe",34,20,45.6,18,17.2,32.6,29.4,26.1,46,29.9,2015,"NO FINALISTA"
"Louisiana Tech",35,26,50.7,15.6,22.4,29,35.4,33.7,51.4,32.9,2015,"NO FINALISTA"
"Loyola Chicago",35,22,53.3,21,20.2,28.7,32.1,33.3,50.6,39.3,2015,"NO FINALISTA"
"Loyola Marymount",30,7,46.3,21.5,18,33.5,34.1,36.2,43.8,35.1,2015,"NO FINALISTA"
"Loyola MD",30,11,42.8,20.3,17.6,31.9,28.6,37.6,40.4,32.5,2015,"NO FINALISTA"
"Maine",30,3,46.7,21.6,19,23.5,31.7,27.7,45.5,32.6,2015,"NO FINALISTA"
"Marist",32,7,46.8,20.5,20.8,21.2,35.6,38,46.4,31.5,2015,"NO FINALISTA"
"Marquette",32,13,49.8,19.3,21,29,36.4,35.8,48.8,34.4,2015,"NO FINALISTA"
"Marshall",30,9,46.2,21.6,18.6,28.2,32.5,34.9,45.9,31.1,2015,"NO FINALISTA"
"Maryland Eastern Shore",33,18,51.7,23.4,21.3,35.5,31.9,47,48.9,38.2,2015,"NO FINALISTA"
"Massachusetts",32,17,47.3,20.5,17.5,34,31.3,42.4,48.4,29.6,2015,"NO FINALISTA"
"McNeese St.",27,11,46.4,16,18.5,33.7,34.4,30.9,45.9,31.6,2015,"NO FINALISTA"
"Memphis",32,18,48.4,20.2,19.2,37,31.6,31.6,48.1,32.8,2015,"NO FINALISTA"
"Mercer",33,17,49.3,17.6,19.2,33.3,32.8,40.2,48.3,34.2,2015,"NO FINALISTA"
"Miami FL",38,25,49.9,15.9,17.3,29.5,29.3,35.5,47.4,35.8,2015,"NO FINALISTA"
"Miami OH",31,12,49.4,19.4,20.6,25.9,29.6,38.7,48.3,34.4,2015,"NO FINALISTA"
"Michigan",31,15,49.4,15.6,19.4,25.5,31.2,26.6,47,35.3,2015,"NO FINALISTA"
"Middle Tennessee",35,18,47.9,20.3,20.3,31.6,26.1,36.8,44.2,36.3,2015,"NO FINALISTA"
"Milwaukee",28,12,49,20,16.5,26.9,29.5,36.2,48.6,33.2,2015,"NO FINALISTA"
"Minnesota",32,17,52.1,17.7,24.2,30,33.4,32.9,50.1,37.2,2015,"NO FINALISTA"
"Mississippi St.",31,12,47.5,23.3,18.9,32.3,31.1,46.4,47.9,31.1,2015,"NO FINALISTA"
"Mississippi Valley St.",32,6,42.7,20.9,20.8,30.1,39.7,33,41.7,30.3,2015,"NO FINALISTA"
"Missouri",31,8,45.8,20.2,17.2,29.4,33.3,32.5,44.2,32.5,2015,"NO FINALISTA"
"Missouri St.",29,9,45.4,19.5,16.4,29.7,30,31.7,44.5,31.4,2015,"NO FINALISTA"
"Monmouth",33,18,47.9,19.9,21.4,30,33.6,41,46.7,33.8,2015,"NO FINALISTA"
"Montana",31,18,53.7,18,19.9,27.6,28.7,33.3,52.9,36.6,2015,"NO FINALISTA"
"Montana St.",29,6,46.9,20.6,17,29.1,28.2,28.7,42.4,35.6,2015,"NO FINALISTA"
"Morehead St.",32,15,49.3,20.1,21.2,34.7,28.2,34.7,48.4,34,2015,"NO FINALISTA"
"Morgan St.",31,7,40.2,16.2,21.6,34.8,33.8,33.1,39.1,28.4,2015,"NO FINALISTA"
"Mount St. Mary's",30,15,47.2,19,21.3,30.6,32.4,30.4,45.5,33,2015,"NO FINALISTA"
"Murray St.",33,27,54.3,17.1,18.7,35.9,32.5,41.2,52.6,38.3,2015,"NO FINALISTA"
"Navy",31,12,49.1,19.4,20.1,29.5,30,30.6,48.8,33.1,2015,"NO FINALISTA"
"Nebraska",31,13,46.2,19.4,20.6,26.7,30.3,36.5,48,28.4,2015,"NO FINALISTA"
"Nebraska Omaha",28,11,49.3,18.3,20.3,30.5,28.9,42.6,49.2,33.1,2015,"NO FINALISTA"
"Nevada",29,7,40.8,21.9,15.7,39.8,31.9,39.9,41.4,25.8,2015,"NO FINALISTA"
"New Hampshire",30,17,49.7,18.7,17.1,27.2,23.7,36.1,45.9,37.4,2015,"NO FINALISTA"
"New Mexico",31,15,47.9,20.2,18.6,33.3,26.1,38.4,48.6,30.8,2015,"NO FINALISTA"
"New Orleans",26,8,46.5,22.2,21.2,35.7,32.9,45.9,45.2,33.9,2015,"NO FINALISTA"
"Niagara",30,8,45.6,20.6,18.1,32,29.5,41.2,42.3,35.1,2015,"NO FINALISTA"
"Nicholls St.",26,7,47.8,25,20.3,30.1,34.5,42.4,48.4,31.2,2015,"NO FINALISTA"
"NJIT",29,17,52.3,20.5,19,28.8,33.8,39,49.8,37.1,2015,"NO FINALISTA"
"Norfolk St.",32,18,52.1,20.7,18,34.3,30.4,42.7,52.2,34.5,2015,"NO FINALISTA"
"North Carolina A&T",30,7,44.6,23.6,18.8,34.1,34.4,37.3,45.7,28.4,2015,"NO FINALISTA"
"North Carolina Central",30,22,53.2,19.8,20.2,31,30.8,37.2,53.1,35.6,2015,"NO FINALISTA"
"North Dakota",28,6,48.4,17.9,18.1,24.7,29,38.5,47.8,33.1,2015,"NO FINALISTA"
"North Texas",29,12,46.9,20.1,20.4,31.1,33.1,40,47.8,29.9,2015,"NO FINALISTA"
"Northern Arizona",37,22,46.1,17.7,16.7,35.3,26.8,36.4,42.9,34.8,2015,"NO FINALISTA"
"Northern Colorado",28,13,53,16.2,20,33.6,34.3,35.1,51.4,37.5,2015,"NO FINALISTA"
"Northern Illinois",29,13,47.6,21.7,21.4,36.4,31.1,47.1,47.2,32.2,2015,"NO FINALISTA"
"Northern Kentucky",28,11,51.2,17.8,16.6,28.5,30,30,51.9,33.4,2015,"NO FINALISTA"
"Northwestern",32,15,50.4,18.1,15.5,27.6,30.9,28.6,48.3,35.9,2015,"NO FINALISTA"
"Northwestern St.",28,15,52.9,15.9,19.6,29.8,38.9,35.1,51.6,36.8,2015,"NO FINALISTA"
"Oakland",31,14,52.3,18.4,16.1,30.1,30.5,38.1,51.7,35.5,2015,"NO FINALISTA"
"Ohio",30,10,49.8,18.7,15.4,25.9,30.5,28.9,49,34,2015,"NO FINALISTA"
"Old Dominion",35,27,48.6,17.5,21,36,26.9,30.6,48.4,32.5,2015,"NO FINALISTA"
"Oral Roberts",32,17,48.1,17.6,18.6,29.5,31.3,44.5,45.6,35.8,2015,"NO FINALISTA"
"Oregon St.",30,16,46.6,19.1,23.7,28.5,32.8,36.8,46,32,2015,"NO FINALISTA"
"Pacific",28,9,46.8,19.8,16.2,34.6,31.3,39.4,44.3,34.2,2015,"NO FINALISTA"
"Penn",28,9,49.1,23.6,18.1,29.5,29.1,35.8,47.7,34.6,2015,"NO FINALISTA"
"Penn St.",34,18,48,18.2,17.8,29.7,31,34.7,46.8,33.4,2015,"NO FINALISTA"
"Pepperdine",31,17,46.9,19.3,19.1,28.7,32.8,37,46.6,31.8,2015,"NO FINALISTA"
"Pittsburgh",33,18,49.1,15.7,17.4,34.3,31.6,34.8,48.6,33.6,2015,"NO FINALISTA"
"Portland",31,15,50,18.3,17.2,35,30.7,36.1,46.9,37.8,2015,"NO FINALISTA"
"Portland St.",27,13,48.7,16.4,17.5,27.6,32.1,37.2,45.5,37.3,2015,"NO FINALISTA"
"Prairie View A&M",32,14,47.5,20.7,24.3,32.1,40.1,30.9,46.7,33.1,2015,"NO FINALISTA"
"Presbyterian",28,6,48.4,20.9,15.9,27.3,33.6,33.3,48.8,31.7,2015,"NO FINALISTA"
"Princeton",29,15,54.3,18.8,18.5,20.7,26.4,46.1,53,37.3,2015,"NO FINALISTA"
"Quinnipiac",30,15,44,20.4,14,42.1,26.5,35.5,43.1,30.7,2015,"NO FINALISTA"
"Radford",31,19,50,18.1,18.8,34.5,32.7,35.4,50.5,32.6,2015,"NO FINALISTA"
"Rhode Island",32,22,48.9,20.8,21.8,32.3,29.2,47.3,50.1,30.5,2015,"NO FINALISTA"
"Rice",29,10,51.7,22.1,19.6,26.5,32.2,33.7,47.6,37.3,2015,"NO FINALISTA"
"Richmond",35,21,52.1,15.6,21.1,22.2,33.4,32.9,52.8,34,2015,"NO FINALISTA"
"Rider",33,21,49.4,19.2,21.6,31.1,29.6,35.6,49,33.4,2015,"NO FINALISTA"
"Rutgers",32,10,43.6,20.1,18.1,30.5,31.4,32.6,43.3,29.5,2015,"NO FINALISTA"
"Sacramento St.",31,19,53.9,16.6,19.6,27.2,33.3,35.5,50.9,40.8,2015,"NO FINALISTA"
"Sacred Heart",31,14,49.6,19.4,18.4,33.9,32.7,35.9,50.3,32,2015,"NO FINALISTA"
"Saint Joseph's",31,13,45.3,19.2,19,31.5,30.4,35.2,45.5,29.9,2015,"NO FINALISTA"
"Saint Louis",31,10,46.2,21.7,20.9,27.2,32.1,41.5,45.2,32,2015,"NO FINALISTA"
"Saint Mary's",30,20,52.4,18.8,15.4,33.2,24.7,34.1,50.6,37.1,2015,"NO FINALISTA"
"Saint Peter's",34,16,46.9,19.5,20.9,31.4,30.5,44,44.6,34.3,2015,"NO FINALISTA"
"Sam Houston St.",31,22,47.6,19.7,20.4,36,27.3,46.3,47.3,32.1,2015,"NO FINALISTA"
"Samford",31,12,49.8,19.2,21.1,30.1,34.1,37.9,49.2,34,2015,"NO FINALISTA"
"San Diego",30,14,48,18.4,21.3,30,31.6,38.4,46,34.5,2015,"NO FINALISTA"
"San Francisco",31,13,50.7,17.9,18.9,30.5,30.8,41,50.7,33.7,2015,"NO FINALISTA"
"San Jose St.",28,0,41,21.6,17.8,24.1,31.8,29.1,38.7,29.4,2015,"NO FINALISTA"
"Santa Clara",30,12,48.2,17.1,19.1,28.1,34.1,31.1,46,34.6,2015,"NO FINALISTA"
"Savannah St.",29,7,44,24.7,24.8,30,33.7,34.2,46.2,25.2,2015,"NO FINALISTA"
"Seattle",32,16,50.8,22,17.3,30.9,28.5,36.4,47.5,37.8,2015,"NO FINALISTA"
"Seton Hall",31,16,48.2,18.7,18,34.7,33.2,38.1,46,35,2015,"NO FINALISTA"
"Siena",31,11,47.5,18.7,21.2,36.3,37.1,41.9,46.6,33.2,2015,"NO FINALISTA"
"SIU Edwardsville",26,10,48.7,20.3,19.8,28.8,31.9,37.4,45.3,36.9,2015,"NO FINALISTA"
"South Alabama",31,10,47.8,20.9,15.2,30,33.1,41.9,47,32.9,2015,"NO FINALISTA"
"South Carolina",32,16,45.2,19.6,21,34.6,31.5,37.3,45.2,30.1,2015,"NO FINALISTA"
"South Carolina St.",31,9,42.4,19.4,20.1,30.1,33.2,32.8,41.1,30.1,2015,"NO FINALISTA"
"South Dakota",31,15,47.1,16.7,17.5,31,27,33.7,44.2,35.8,2015,"NO FINALISTA"
"South Dakota St.",33,22,51.9,16.9,18.1,28.8,28.2,40.4,48.6,38.1,2015,"NO FINALISTA"
"South Florida",31,8,47.3,20.9,18.8,31.3,34.8,31.6,47.7,30.9,2015,"NO FINALISTA"
"Southeast Missouri St.",28,11,48.9,19.2,19.3,32.2,31.6,36.4,48.1,33.7,2015,"NO FINALISTA"
"Southeastern Louisiana",31,8,50.9,22.5,19.4,29.1,32.2,32.5,53,31.2,2015,"NO FINALISTA"
"Southern",32,15,45.1,20.1,20.6,32.1,34.7,40.5,44.9,30.6,2015,"NO FINALISTA"
"Southern Illinois",32,11,45.7,20.8,21.3,31.4,26.2,41,44.3,33.3,2015,"NO FINALISTA"
"Southern Miss",27,7,48.9,22.2,20.1,26.6,34.2,34.1,48.8,32.8,2015,"NO FINALISTA"
"Southern Utah",28,9,52.3,20.1,15.7,22.6,29.3,38.7,48.4,39.7,2015,"NO FINALISTA"
"St. Bonaventure",31,18,47.1,18.9,19.7,35,29,37.9,47.1,31.4,2015,"NO FINALISTA"
"St. Francis NY",34,22,46.3,19.8,20.2,39.6,28.8,40.9,47.5,29.1,2015,"NO FINALISTA"
"St. Francis PA",31,15,50.1,19.4,20.6,25.7,31.4,34.6,50.3,33.1,2015,"NO FINALISTA"
"Stanford",37,24,49.3,16.2,17.2,33.6,27.8,40.5,46,37.7,2015,"NO FINALISTA"
"Stetson",28,6,48.1,18.3,16.4,26.1,35.1,34.1,48.3,31.8,2015,"NO FINALISTA"
"Stony Brook",33,21,46,18.6,17.7,37.1,25.4,32.4,45.1,32.1,2015,"NO FINALISTA"
"Syracuse",31,18,47.3,17.9,21.1,33.5,31.3,35.4,48.3,30,2015,"NO FINALISTA"
"TCU",33,18,47.9,18.4,20,37.5,33.4,46.5,47.5,32.7,2015,"NO FINALISTA"
"Temple",37,26,44.2,14.6,18.8,31.8,29.2,35.6,43.4,30.4,2015,"NO FINALISTA"
"Tennessee",32,16,48.2,19.7,22.6,37,33.3,32.3,47.4,33.1,2015,"NO FINALISTA"
"Tennessee Martin",32,19,53.4,18.6,15.4,30,25.8,31.4,50,39.4,2015,"NO FINALISTA"
"Tennessee St.",29,3,43.9,22.1,18.3,26.5,32.8,40.4,40,34.8,2015,"NO FINALISTA"
"Tennessee Tech",28,10,48.8,20.5,18.7,36.4,29.2,34.8,49.1,32.2,2015,"NO FINALISTA"
"Texas A&M",33,21,50.5,19.2,19.4,34.1,28.1,38.1,49.6,35.1,2015,"NO FINALISTA"
"Texas A&M Corpus Chris",32,18,49.2,19.4,20.6,30.3,33.1,51,48.7,33.5,2015,"NO FINALISTA"
"Texas St.",28,11,44,19.9,23.1,29,31.8,36.5,42.8,31.1,2015,"NO FINALISTA"
"Texas Tech",32,13,45.7,21.8,20.1,34.6,32.6,46.1,44.5,32.3,2015,"NO FINALISTA"
