"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Louisville",34,20,50.9,17.5,16.1,29.1,25.9,34.9,50.6,34.2,2019,"FINALISTA"
"Wofford",32,30,57.5,16.1,19.1,31.8,25.2,27.8,53.9,41.4,2019,"FINALISTA"
"Cincinnati",35,28,49,16,20.9,37.4,29.3,37.6,47.6,34.5,2019,"FINALISTA"
"Nevada",34,29,53.7,14.6,19.2,27.2,24.9,40.8,54.9,34.7,2019,"FINALISTA"
"VCU",33,25,50.1,20,23.4,31,30.6,35.7,53.1,30.5,2019,"FINALISTA"
"Syracuse",34,20,49.6,18.5,23.1,30.2,33.4,36.8,49.3,33.3,2019,"FINALISTA"
"Mississippi",33,20,53.1,18.2,20.6,30.2,29.3,30.9,52.7,35.8,2019,"FINALISTA"
"Utah St.",34,28,53.9,18.2,17.3,32,22.3,36.7,54.2,35.7,2019,"FINALISTA"
"UCF",33,24,52.9,17.6,18,29.5,29.6,45.3,52,36.5,2019,"FINALISTA"
"Oklahoma",34,20,50.4,17,17.3,25.8,27.8,31.3,49.7,34.6,2019,"FINALISTA"
"Baylor",34,20,51.2,19.7,18.6,37.9,29.4,32.3,51.2,34.1,2019,"FINALISTA"
"Washington",36,27,52.1,19.8,24.2,29.1,34.9,34.7,51.9,35,2019,"FINALISTA"
"Florida",36,20,49.8,17.9,22.4,30.6,32.2,29.9,49.5,33.4,2019,"FINALISTA"
"Iowa",35,23,52.7,17.2,18.4,29.8,29.4,42.3,51.4,36.4,2019,"FINALISTA"
"Minnesota",36,22,48.2,17.1,16.9,31.4,28.4,41.6,48.5,31.7,2019,"FINALISTA"
"Seton Hall",34,20,49.9,17.5,19.8,29.5,29.2,34.5,50.6,32.4,2019,"FINALISTA"
"Saint Mary's",34,22,53.8,16.2,16.3,31.2,23,29.1,52.3,37.8,2019,"FINALISTA"
"Ohio St.",35,20,50.3,18.7,18.2,27.6,25.9,33.7,49.7,34.1,2019,"FINALISTA"
